Name,PDGA#,Rating,Rd1,Rd2,Rd3,Rd4,Finals,Par,Place,best_round
Paul McBeth,27523,1048,56,57,53,60,56.0,-46,1,53
Aaron Gossage,35449,1027,55,56,55,57,59.0,-46,2,55
Matthew Orum,18330,1043,60,57,53,58,58.0,-42,3,53
Chris Clemons,50401,1031,58,57,53,61,57.0,-42,3,53
Tristan Tanner,99053,1004,53,58,58,60,57.0,-42,3,53
Calvin Heimburg,45971,1042,57,56,56,59,62.0,-38,6,56
Joel Freeman,69509,1033,58,60,54,62,57.0,-37,7,54
Anthony Barela,44382,1030,55,61,55,59,61.0,-37,7,55
Nate Sexton,18824,1031,57,60,56,59,61.0,-35,9,56
Ben Callaway,39015,1021,59,57,59,58,60.0,-35,9,57
Ricky Wysocki,38008,1049,61,54,55,61,63.0,-34,11,54
Chris Dickerson,62467,1044,57,64,57,60,57.0,-33,12,57
Gavin Babcock,80331,1012,59,56,56,63,61.0,-33,12,56
Gannon Buhr,75412,1040,61,56,56,63,60.0,-32,14,56
Isaac Robinson,50670,1033,61,60,53,59,63.0,-32,14,53
Gavin Rathbun,60436,1029,63,61,59,56,57.0,-32,14,56
Mason Ford,72844,1027,62,58,59,62,55.0,-32,14,58
Vaino Makela,59635,1025,55,63,60,60,58.0,-32,14,55
Eric Oakley,53565,1016,58,63,58,60,57.0,-32,14,58
Chandler Kramer,139228,1021,58,61,56,64,58.0,-31,20,56
Jake Monn,98722,1004,60,61,60,54,62.0,-31,20,54
Gregg Barsby,15857,1027,57,61,56,62,62.0,-30,22,56
Kyle Klein,85132,1039,59,60,55,60,65.0,-29,23,55
Garrett Gurthie,13864,1029,55,59,57,63,65.0,-29,23,55
Simon Lizotte,8332,1034,64,60,58,60,58.0,-28,25,58
Alden Harris,98091,1028,61,58,60,60,61.0,-28,25,58
Dylan Horst,32599,1006,57,60,64,60,59.0,-28,25,57
Kevin Jones,41760,1034,59,63,56,64,59.0,-27,28,56
Austin Turner,54049,1014,58,60,61,63,59.0,-27,28,58
Drew Gibson,48346,1034,59,61,54,61,67.0,-26,30,54
Jeremy Koling,33705,1020,58,62,58,61,63.0,-26,30,58
Jason Hebenheimer,43762,1014,63,61,59,60,59.0,-26,30,59
Bradley Williams,31644,1030,60,60,59,63,61.0,-25,33,59
Andrew Presnell,63765,1026,59,63,57,62,62.0,-25,33,57
Colten Montgomery,35876,1018,58,59,60,63,63.0,-25,33,58
Silas Schultz,79047,1012,58,63,56,65,61.0,-25,33,56
Paul Ulibarri,27171,1017,59,60,59,62,64.0,-24,37,59
Eagle McMahon,37817,1055,55,60,61,64,65.0,-23,38,55
James Conrad,17295,1035,62,60,59,60,64.0,-23,38,59
Cole Redalen,79748,1029,58,63,62,62,60.0,-23,38,58
Adam Hammes,57365,1033,67,56,61,60,62.0,-22,41,56
Albert Tamm,76669,1023,60,61,57,66,62.0,-22,41,57
Brodie Smith,128378,1022,58,61,61,62,64.0,-22,41,58
Connor O'Reilly,99648,1020,59,59,65,60,63.0,-22,41,59
Jaden Rye,153363,993,59,60,61,65,61.0,-22,41,59
Cale Leiviska,24341,1029,61,63,57,62,64.0,-21,46,57
Ezra Aderhold,121715,1028,58,57,65,67,60.0,-21,46,57
Emerson Keith,47472,1022,61,59,64,64,59.0,-21,46,59
Logan Harpool,101319,1012,65,60,59,55,68.0,-21,46,55
Bartosz Kowalewski,68737,1008,59,63,60,64,61.0,-21,46,59
Scott Withers,38464,1029,62,60,65,61,60.0,-20,51,60
Linus Carlsson,82098,1026,62,61,58,60,67.0,-20,51,58
Luke Humphries,69424,1017,59,63,63,61,62.0,-20,51,59
AJ Carey,61770,1011,65,62,59,61,61.0,-20,51,59
Ty Love,89959,1010,58,66,61,64,59.0,-20,51,58
Randon Latta,51685,1006,63,55,59,68,63.0,-20,51,55
Jonathan Fletcher,65940,996,67,64,55,59,63.0,-20,51,55
Corey Ellis,44512,1030,56,62,61,60,70.0,-19,58,56
Clay Edwards,91397,1003,66,61,57,63,62.0,-19,58,57
Reid Frescura,48338,995,61,58,65,62,63.0,-19,58,58
Knut Valen Haland,35070,1016,61,63,63,60,63.0,-18,61,60
Garett Everson,98164,1008,61,60,61,63,65.0,-18,61,60
DW Hass,94907,998,64,61,61,58,67.0,-17,63,58
Niklas Anttila,91249,1030,66,55,62,61,68.0,-16,64,55
Sullivan Tipton,78817,1016,62,68,58,64,60.0,-16,64,58
Nolan Ramser,90461,994,64,61,60,67,60.0,-16,64,60
Kyle Webster,28977,989,62,62,64,62,62.0,-16,64,62
JohnE McCray,9852,1022,62,64,63,63,61.0,-15,68,62
James Proctor,34250,1022,59,63,63,67,61.0,-15,68,59
Matt Bell,48950,1020,64,60,62,66,61.0,-15,68,60
Chandler Fry,25541,1019,60,62,64,65,62.0,-15,68,60
Austin Hannum,68835,1018,64,59,61,60,69.0,-15,68,59
Andrew Marwede,75590,1030,63,61,61,63,66.0,-14,73,61
Bo Tillman,46480,1013,60,61,63,64,66.0,-14,73,60
Kevin Kiefer III,97115,1011,69,59,64,58,64.0,-14,73,58
Noah Fiveash,99153,1005,62,66,65,59,62.0,-14,73,59
Silver Latt,61186,1000,63,63,57,65,66.0,-14,73,57
Luke Samson,59419,1019,64,67,63,58,63.0,-13,78,58
Ezra Robinson,50671,1015,57,66,66,59,67.0,-13,78,57
Seppo Paju,36744,1009,61,67,60,64,64.0,-12,80,60
Christopher Keseloff,91498,1000,59,61,67,65,64.0,-12,80,59
Daniel Brooks-Wells,79228,996,66,64,58,64,64.0,-12,80,58
Michael Babbitt,86291,993,65,57,62,68,66.0,-10,83,57
Kyle Divelbiss,104419,985,65,62,64,61,67.0,-9,84,61
Tuomas Hyytiainen,65715,1007,64,64,62,62,69.0,-7,85,62
Lauri Lehtinen,82297,1028,62,60,62,69,,-9,86,60
Thomas Gilbert,85850,1025,63,68,62,60,,-9,86,60
Tim Barham,53332,1019,65,64,61,63,,-9,86,61
Parker Welck,39491,1005,64,64,64,61,,-9,86,61
Clint Calvin,84958,1004,62,60,65,66,,-9,86,60
Henric Hagman,59769,993,66,59,65,63,,-9,86,59
Jakub Semerad,91925,1014,59,64,61,70,,-8,92,59
Philo Brathwaite,26416,1013,61,64,65,64,,-8,92,61
Tate Krampitz,96117,972,67,64,61,62,,-8,92,61
Zackeriath Johnson,50312,1018,56,64,66,69,,-7,95,56
Evan Scott,89394,1015,62,67,62,64,,-7,95,62
Jake Lauber,44782,1005,62,59,64,70,,-7,95,59
Nicholas Carl,82935,1002,68,59,68,60,,-7,95,59
Casey White,81739,1022,65,62,66,63,,-6,99,62
Aaron Doyle,32750,1008,63,59,68,66,,-6,99,59
Zach Arlinghaus,65266,1006,61,65,63,67,,-6,99,61
Jacob Courtis,56511,1004,70,59,62,65,,-6,99,59
Alan Wagner,28550,1003,65,66,67,58,,-6,99,58
Dustin Keegan,35187,1006,58,69,66,64,,-5,104,58
John Jones,43834,1006,60,65,66,66,,-5,104,60
Bohdan Bilek,80134,998,64,65,63,65,,-5,104,63
Andrew Fish,58320,1018,66,65,65,62,,-4,107,62
Raven Newsom,88212,1018,66,62,62,68,,-4,107,62
Cody Kirkland,28198,1015,64,68,61,65,,-4,107,61
G.T. Hancock,49885,1007,65,66,64,63,,-4,107,63
Zach Melton,38631,1006,63,64,61,70,,-4,107,61
Nate Metzler,41220,1004,64,65,66,63,,-4,107,63
Jake Wolff,144536,995,66,64,65,63,,-4,107,63
Steven Jacobs,41260,991,68,66,62,62,,-4,107,62
Kade Filimoehala,104984,987,62,65,65,66,,-4,107,62
Thunder Schultz,56016,999,64,65,66,64,,-3,116,64
Luke Bayne,166771,998,63,67,63,66,,-3,116,63
Alex Russell,66362,1017,65,67,66,62,,-2,118,62
Danny Beauchamp,76153,1005,62,63,67,68,,-2,118,62
Micah Noble,101997,981,62,65,69,64,,-2,118,62
Elijah Bickel,94844,1010,67,62,68,64,,-1,121,62
Scott Stokely,3140,1004,67,66,63,65,,-1,121,63
John Willis II,23844,1004,67,67,69,58,,-1,121,58
Alexander Krause,100061,1003,73,63,65,60,,-1,121,60
Ville Ahokas,53538,1001,66,70,67,58,,-1,121,58
Isaac Heinen,44919,999,71,61,65,64,,-1,121,61
Isaac Marrs,65220,997,62,67,69,63,,-1,121,62
Tyler Wozniak,92805,984,61,73,65,62,,-1,121,61
Robert Burridge,96512,1009,64,70,66,62,,E,129,62
Max Regitnig,27812,1006,61,67,69,65,,E,129,61
Kyle Giovannini,60367,1003,67,62,65,68,,E,129,62
Ron Convers,9648,1002,66,64,66,66,,E,129,64
Justin Rosak,98161,999,63,67,61,71,,E,129,61
Jacob Blair,52785,1007,64,68,61,70,,+1,134,61
Ian Burchett,60435,1003,71,63,66,63,,+1,134,63
Oskari Vikstrom,74130,1000,64,65,68,66,,+1,134,64
Aaron Hieb,123869,989,69,66,67,61,,+1,134,61
Jordan Castro,49431,1007,66,63,63,72,,+2,138,63
Billy Engel,44458,989,65,68,68,63,,+2,138,63
Dallas Wrinkle,88370,970,68,67,67,62,,+2,138,62
Charlie Goodpasture,26455,1009,69,66,64,66,,+3,141,64
Samuel Hanninen,87964,1009,63,60,65,77,,+3,141,60
Trevor Harbolt,26860,991,68,63,72,62,,+3,141,62
Austin Housewright,77181,982,72,62,67,64,,+3,141,62
Noah Meintsma,56555,1003,65,59,70,72,,+4,145,59
Caleb Bruce,101944,997,66,63,65,72,,+4,145,63
Severi Saviniemi,80974,1005,66,66,68,67,,+5,147,66
Jeremiah Collier,115615,973,64,68,71,64,,+5,147,64
Cameron Messerschmidt,58814,994,68,66,71,63,,+6,149,63
Tony Candyarms Cahill,53637,980,62,67,71,68,,+6,149,62
Trevon Crowe,67172,994,69,64,67,69,,+7,151,64
Danny Roman,75017,988,70,69,64,66,,+7,151,64
Mike Sale,46910,1010,71,67,66,66,,+8,153,66
Levi Hancock,103050,1005,71,72,68,59,,+8,153,59
Mark Chapalonis,70741,997,69,69,69,63,,+8,153,63
Loren Lewis,68695,995,64,64,70,72,,+8,153,64
Brady Och,89514,993,64,71,70,65,,+8,153,64
Jerome Braun,35075,1001,70,63,67,71,,+9,158,63
Harry Chace,131546,1001,69,60,74,68,,+9,158,60
Stanislaus Amann,87790,992,66,66,69,70,,+9,158,66
Avery Jenkins,7495,993,71,66,66,69,,+10,161,66
Quintin Becker,69961,993,67,72,68,65,,+10,161,65
Benjamin Fulford,114761,1010,69,71,67,66,,+11,163,66
Calvin Pettigrew,31818,991,68,65,73,67,,+11,163,65
Erik Olden,48828,988,69,62,67,75,,+11,163,62
Chris Hawks,67596,979,73,68,70,62,,+11,163,62
Alex Berg,65488,986,73,70,65,66,,+12,167,65
Hans Coleman,21416,985,74,64,74,62,,+12,167,62
Thomas Tomaselli,80904,1009,71,67,73,64,,+13,169,64
Tanner Girouard,88077,996,69,68,71,67,,+13,169,67
Aidan Guthrie,96832,990,68,73,73,61,,+13,169,61
Bryan Freese,62044,980,71,69,69,67,,+14,172,67
Sean Swihart,68043,971,68,66,72,70,,+14,172,66
Charlie Moore,78268,1007,73,67,74,63,,+15,174,63
Eli Swansen,128050,995,65,68,72,72,,+15,174,65
Billy Lund,24379,957,70,68,71,68,,+15,174,68
Marc Burnett,22546,993,79,73,60,66,,+16,177,60
Tye Weber,93823,988,70,68,71,69,,+16,177,68
Casey Atchison,65883,970,70,68,71,69,,+16,177,68
Cooper Arnold,39511,989,71,70,71,69,,+19,180,69
Ian Craveiro,99166,986,78,69,69,65,,+19,180,65
Jeremy Harvey,83457,991,73,72,69,68,,+20,182,68
Ryan Anderson,50038,987,71,69,74,69,,+21,183,69
Mason Hults,121920,985,74,73,71,65,,+21,183,65
David Dunn,88153,986,69,76,69,71,,+23,185,69
Brandon Hauer,55021,973,71,73,73,68,,+23,185,68
Justin Workman,110871,966,75,68,72,70,,+23,185,68
Lavon Stoltzfus,130632,954,74,69,78,64,,+23,185,64
Thomas Perks,68437,979,75,72,69,70,,+24,189,69
Larry Gardner,22706,991,77,73,70,67,,+25,190,67
Derek Shafer,126986,977,77,67,67,77,,+26,191,67
Kouichi Fukuta,102802,1015,73,72,78,66,,+27,192,66
Woody Hass,103944,975,75,74,68,72,,+27,192,68
James King,77736,954,76,71,69,73,,+27,192,69
Ko Simmel,108547,999,75,74,74,68,,+29,195,68
Xander Kirby,71942,968,78,72,73,68,,+29,195,68
Tongia Vakaafi,103922,970,74,73,75,72,,+32,197,72
Lance Brown,58644,990,72,77,73,74,,+34,198,72
Peter Bures,50464,955,73,69,78,76,,+34,198,69
Cade Kohlmeier,177319,941,78,67,77,78,,+38,200,67
Traz Sargent,50754,963,74,78,79,70,,+39,201,70
Heath Hayward,65001,955,76,77,78,78,,+47,202,76
David L. Greenwell,962,937,76,83,75,77,,+49,203,75
Stephen Penrod,152463,913,78,80,82,79,,+57,204,78
Zac Fansler,52178,971,85,79,85,78,,+65,205,78
Kyle Stoltzfus,135547,937,89,86,94,87,,+94,206,86
Micah Mariano,24443,973,73,71,77,999,,,207,71
Nathaniel Spencer,168806,956,68,68,75,999,,,207,68
Nick Anderson,53889,960,70,74,999,999,,,209,70
William Lister,31722,966,79,888,888,888,,,210,79
Jesse Ginthum,49975,995,71,999,999,999,,,211,71
